Stars	Price	Relv	ID
4.5  	 8.49	5.4  	75074
2    	25.49	8.7  	75075
3    	17.99	2.7  	75076
4.5  	15.99	8.4  	75077
3    	10.99	6.8  	75078
4    	 6.49	4.9  	75079
4.5  	21.99	2.2  	75080
3    	 6.99	3.6  	75081
2    	26.49	6.2  	75082
4.5  	23.99	3.3  	75083
2.5  	19.49	2.5  	75084
1.5  	 4.99	6.4  	75085
2.5  	10.99	0.9  	75086
2.5  	26.49	2.6  	75087
3.5  	22.99	1.5  	75088
4.5  	18.49	2    	75089
3.5  	13.49	3.9  	75090
2    	11.49	6.3  	75091
5    	11.49	1.3  	75092
2.5  	 3.49	7.7  	75093
2    	 5.49	7.2  	75094
1    	14.49	7    	75095
1.5  	14.49	0.9  	75096
1    	12.99	6.5  	75097
4.5  	 6.99	0.5  	75098
3    	22.49	4.4  	75099
1.5  	17.49	5.2  	75100
3.5  	12.99	8.8  	75101
3    	 7.49	5.2  	75102
3.5  	17.99	8.2  	75103
1    	 5.49	1.6  	75104
3    	 8.49	2.9  	75105
2.5  	24.99	8.1  	75106
3.5  	 3.99	7.7  	75107
3.5  	23.99	2.2  	75108
1.5  	18.99	6.7  	75109
4.5  	20.99	4    	75110
2    	13.99	3.8  	75111
3    	 6.49	0.1  	75112
2.5  	12.99	7.3  	75113
2    	19.49	9.1  	75114
4    	23.49	3.1  	75115
3.5  	 3.49	8.4  	75116
3.5  	19.49	4    	75117
2.5  	20.49	6.7  	75118
1.5  	 3.99	6.8  	75119
1.5  	18.49	5.6  	75120
1    	 3.99	2.6  	75121
3.5  	24.99	3.4  	75122
4    	24.49	3.1  	75123
4.5  	 7.99	5    	75124
4.5  	19.49	1.9  	75125
2.5  	20.49	5.4  	75126
4    	26.99	9.2  	75127
3    	26.99	5.5  	75128
5    	22.49	5.9  	75129
3.5  	27.49	3.2  	75130
4.5  	17.49	7.5  	75131
4    	22.99	6    	75132
3    	 7.49	8.6  	75133
4.5  	19.99	6.1  	75134
3.5  	19.49	1.4  	75135
3.5  	 3.49	5.1  	75136
4.5  	15.99	4.8  	75137
3    	 4.49	3.8  	75138
3.5  	14.99	4.1  	75139
2    	13.99	7.1  	75140
3.5  	23.49	4.4  	75141
3    	27.99	0.7  	75142
3.5  	17.99	2.1  	75143
3.5  	26.49	4.6  	75144
2.5  	24.49	9.4  	75145
5    	22.99	5.3  	75146
1.5  	14.49	4.6  	75147
4.5  	27.99	4.5  	75148
4.5  	22.49	2.5  	75149
4    	27.99	4    	75150
3.5  	16.49	1.9  	75151
3    	12.49	9.1  	75152
1.5  	18.49	1    	75153
2.5  	 7.49	5.9  	75154
4    	17.99	5.6  	75155
3.5  	 9.99	3.4  	75156
1    	26.49	7.7  	75157
4.5  	26.99	4.4  	75158
3    	22.49	9.6  	75159
1.5  	10.49	3.6  	75160
5    	21.99	2.7  	75161
5    	 6.49	6.2  	75162
4    	26.99	2.8  	75163
1.5  	 8.49	1.7  	75164
1.5  	 8.49	0.1  	75165
1.5  	 5.99	6.4  	75166
5    	 5.49	0.7  	75167
2.5  	15.99	2.9  	75168
2    	25.49	1.9  	75169
1    	13.49	7.5  	75170
2.5  	27.99	5.2  	75171
1.5  	19.49	3.2  	75172
5    	19.99	0.5  	75173
4    	23.49	6.8  	75174
5    	10.49	2.9  	75175
4.5  	 7.49	0.5  	75176
1    	 6.99	1.3  	75177
3.5  	 4.49	9.4  	75178
1    	26.99	2.5  	75179
3.5  	 7.49	4.7  	75180
4.5  	26.49	5.8  	75181
4    	 8.99	6.3  	75182
3    	 3.49	3.4  	75183
1.5  	16.99	3    	75184
4    	19.99	2.6  	75185
4    	11.99	7.5  	75186
2    	20.99	8.4  	75187
4.5  	18.99	6.6  	75188
3    	24.99	2.5  	75189
1    	15.49	6.1  	75190
3    	23.49	7.3  	75191
2.5  	11.99	0.2  	75192
1    	15.99	7    	75193
4.5  	15.99	0.7  	75194
1.5  	15.49	0.4  	75195
1    	 9.49	6.1  	75196
1    	27.49	1.6  	75197
3    	21.49	0    	75198
3.5  	21.49	9.2  	75199
1    	22.49	1    	75200
2    	 8.49	0.9  	75201
4    	 9.99	9.3  	75202
4    	 5.49	8.4  	75203
2.5  	20.99	4.3  	75204
3.5  	11.49	1.2  	75205
1    	12.99	6.5  	75206
1.5  	25.49	2.1  	75207
4    	16.99	9.4  	75208
4    	 6.99	5.1  	75209
2.5  	 8.99	1.6  	75210
2    	13.99	6.4  	75211
1.5  	14.99	7.8  	75212
4.5  	20.49	8.6  	75213
1    	 4.49	1.7  	75214
5    	 5.99	5.9  	75215
3.5  	20.49	4    	75216
4.5  	17.49	2.2  	75217
4.5  	12.99	0.9  	75218
4.5  	12.49	9.3  	75219
4.5  	23.49	6.3  	75220
3    	18.49	5.7  	75221
4    	 3.49	5.9  	75222
1.5  	 6.99	7.7  	75223
4.5  	21.99	6.6  	75224
2    	 5.49	1    	75225
3    	 9.99	2.8  	75226
3.5  	26.99	5    	75227
4.5  	26.99	2.9  	75228
3.5  	19.49	2.3  	75229
4    	18.49	8.1  	75230
4    	 3.49	6.1  	75231
4    	22.99	0.7  	75232
4.5  	 7.99	3.5  	75233
2.5  	12.49	1    	75234
2    	24.49	1    	75235
4.5  	21.99	3.6  	75236
2.5  	 9.49	0.6  	75237
5    	13.49	6.7  	75238
3    	14.99	2.2  	75239
2    	17.99	1.2  	75240
4    	15.99	1.9  	75241
4.5  	 6.99	1.8  	75242
1    	25.99	8    	75243
3.5  	20.99	0.4  	75244
5    	22.99	8.6  	75245
1.5  	27.49	6.6  	75246
3    	23.49	7.1  	75247
2.5  	 7.49	1.5  	75248
4    	11.99	5.3  	75249
3    	19.49	4.6  	75250
3    	 3.99	1.9  	75251
4    	14.99	6.5  	75252
1.5  	11.49	4.2  	75253
2.5  	 4.99	8    	75254
4.5  	27.49	2.8  	75255
1.5  	11.99	8.5  	75256
4    	22.99	1.4  	75257
2.5  	 5.49	9.6  	75258
1    	24.99	8    	75259
2    	12.99	5.3  	75260
4    	27.49	0.8  	75261
1    	 4.49	8.9  	75262
1    	13.99	2.1  	75263
4.5  	18.99	4.6  	75264
2.5  	14.49	8.3  	75265
3.5  	 8.49	6.7  	75266
1    	27.99	3.8  	75267
2.5  	26.49	1    	75268
5    	24.99	9.2  	75269
5    	 5.49	9.6  	75270
3    	 3.99	2.8  	75271
3.5  	 9.49	0.3  	75272
4    	11.49	2.8  	75273
3    	19.49	6.2  	75274
3.5  	13.99	9.9  	75275
2.5  	26.99	2.6  	75276
4.5  	10.99	7.2  	75277
2.5  	 3.49	8.8  	75278
1    	25.99	6.3  	75279
1.5  	26.49	8.7  	75280
2    	16.99	8.2  	75281
2    	 5.99	8.6  	75282
3    	14.49	9    	75283
2.5  	26.99	1.8  	75284
2    	12.49	6.2  	75285
2.5  	18.49	3.7  	75286
3    	20.99	6.5  	75287
3.5  	20.49	8.9  	75288
2    	19.49	4.6  	75289
4.5  	 7.99	3.3  	75290
3.5  	 7.99	0.2  	75291
1.5  	13.99	3.8  	75292
4.5  	 6.99	1.4  	75293
4    	16.49	2.4  	75294
2    	16.49	8.4  	75295
2    	13.49	4.7  	75296
1    	14.49	8.8  	75297
3.5  	 9.99	2.7  	75298
3    	14.99	5.8  	75299
4.5  	15.49	6.5  	75300
3.5  	27.49	3.8  	75301
3    	11.49	7.4  	75302
4.5  	16.49	0.9  	75303
5    	11.49	0.4  	75304
4.5  	15.49	4.2  	75305
4.5  	 6.49	2.3  	75306
3.5  	 3.49	4.7  	75307
3    	22.99	1.6  	75308
4    	26.49	2.9  	75309
2    	 7.99	1.1  	75310
4    	18.99	6.7  	75311
5    	22.49	7.2  	75312
2    	19.99	0.9  	75313
4.5  	24.99	3.8  	75314
4.5  	 6.49	3.9  	75315
5    	27.49	7    	75316
5    	 5.99	1.5  	75317
2    	 3.99	0.3  	75318
3.5  	14.49	5.8  	75319
2    	13.99	5.7  	75320
1    	14.49	8.6  	75321
2    	27.99	1.9  	75322
1.5  	 5.49	0.6  	75323
1    	 6.49	9.8  	75324
2    	22.99	5.6  	75325
4.5  	13.49	4.4  	75326
5    	10.99	1.5  	75327
4    	11.49	8.2  	75328
4.5  	12.49	1.4  	75329
2.5  	26.99	5    	75330
1    	26.49	1.2  	75331
1    	11.99	3.2  	75332
1    	 9.49	9    	75333
4    	15.99	5.5  	75334
4.5  	12.49	5.4  	75335
4    	14.99	5.5  	75336
4.5  	 4.49	2.2  	75337
1    	 4.49	0.4  	75338
5    	10.99	0.3  	75339
3.5  	10.99	7.3  	75340
3    	 9.49	2    	75341
4    	 3.49	5.3  	75342
2.5  	15.99	1.3  	75343
5    	14.49	7.6  	75344
3    	12.49	5.3  	75345
2.5  	20.49	4    	75346
1    	21.99	6.4  	75347
1    	23.99	5.6  	75348
1    	 3.49	7.9  	75349
1    	16.99	4.2  	75350
1    	13.49	9.4  	75351
4.5  	 9.49	3.9  	75352
3.5  	20.49	0.8  	75353
2.5  	15.99	4.3  	75354
2    	26.99	2.9  	75355
4    	14.49	8    	75356
3    	18.49	5.4  	75357
1.5  	26.49	1.9  	75358
2.5  	16.99	2.1  	75359
4.5  	24.49	4.4  	75360
3.5  	16.49	9.9  	75361
1    	 3.99	3.2  	75362
5    	15.49	7.2  	75363
5    	14.49	5    	75364
1    	 6.99	2.8  	75365
1    	 3.99	3.9  	75366
3.5  	18.49	3.5  	75367
3    	 8.49	0.5  	75368
4    	11.99	8.2  	75369
2.5  	15.99	3.2  	75370
5    	21.99	9.9  	75371
2    	17.99	3.3  	75372
4    	16.49	7.5  	75373
3.5  	 5.99	1.1  	75374
4    	21.99	2.1  	75375
5    	 9.99	7.2  	75376
3.5  	10.49	9.4  	75377
4.5  	20.99	7.9  	75378
3    	11.49	6.7  	75379
5    	 9.99	6    	75380
4.5  	18.99	3.8  	75381
4    	15.49	4.6  	75382
2    	27.49	2.1  	75383
2    	26.49	8.2  	75384
2    	15.49	0.5  	75385
1.5  	 4.49	6.2  	75386
2.5  	18.99	2.8  	75387
5    	10.49	7.2  	75388
5    	 9.99	6.9  	75389
4    	18.99	0.1  	75390
3.5  	24.99	8.1  	75391
4.5  	 7.49	0.4  	75392
3.5  	13.99	8.3  	75393
3    	26.99	8.3  	75394
3.5  	22.99	4.8  	75395
1    	 3.99	0.3  	75396
2    	11.49	0.2  	75397
5    	25.99	5.1  	75398
4    	 9.99	5.3  	75399
2.5  	27.49	0.9  	75400
2.5  	19.49	8.4  	75401
3.5  	12.49	1.9  	75402
1.5  	23.49	2.3  	75403
4.5  	25.99	0.9  	75404
1.5  	 3.99	1.4  	75405
5    	 7.49	6.4  	75406
2.5  	27.99	8.6  	75407
5    	21.49	3.3  	75408
2.5  	25.99	0.6  	75409
2    	24.99	4.1  	75410
4    	26.49	4.8  	75411
4.5  	25.49	0.4  	75412
5    	20.99	8.2  	75413
4.5  	24.99	2.8  	75414
4.5  	19.99	7.8  	75415
2.5  	 5.99	8.4  	75416
5    	10.49	2.5  	75417
1.5  	 7.49	8.2  	75418
1    	10.99	9.3  	75419
2    	25.49	1.5  	75420
3.5  	 7.49	4.5  	75421
1    	14.49	8.4  	75422
1    	25.49	5    	75423
5    	21.99	9.8  	75424
1    	 9.99	2    	75425
2.5  	25.99	5.2  	75426
2    	11.99	4.5  	75427
2    	13.49	8.3  	75428
3.5  	17.99	6.1  	75429
1    	 3.99	1.3  	75430
5    	 5.49	9.2  	75431
4.5  	27.49	8.8  	75432
2    	 6.99	6.8  	75433
1    	 6.99	2.7  	75434
3    	19.49	7.1  	75435
1.5  	11.49	7.1  	75436
5    	24.99	9.6  	75437
4.5  	22.99	8.1  	75438
4.5  	21.49	7.2  	75439
4    	19.49	9.9  	75440
4.5  	20.49	8.4  	75441
4.5  	25.99	2.9  	75442
3.5  	24.99	6.8  	75443
1.5  	16.99	1.1  	75444
2.5  	21.99	2.8  	75445
3    	 7.99	4.1  	75446
5    	24.99	6.3  	75447
3    	21.49	2.9  	75448
3    	10.99	2.8  	75449
1.5  	 9.49	7.7  	75450
1    	17.99	2.8  	75451
1.5  	24.99	5.3  	75452
3.5  	14.49	1.2  	75453
3.5  	25.49	5.5  	75454
4    	20.99	2.5  	75455
3    	23.49	9.1  	75456
1.5  	20.99	3.2  	75457
5    	22.99	0.4  	75458
2.5  	16.99	4.8  	75459
2.5  	21.99	0.1  	75460
1.5  	23.99	8.4  	75461
4    	20.99	5.1  	75462
2.5  	17.49	8.3  	75463
2.5  	11.49	5.2  	75464
1    	26.49	9.5  	75465
4    	26.99	0.6  	75466
3    	11.49	9.1  	75467
1    	17.49	2.6  	75468
2.5  	 4.99	1.6  	75469
4    	15.49	1.5  	75470
1    	14.49	5.1  	75471
4.5  	21.99	7.9  	75472
4    	25.49	3.8  	75473
4.5  	22.99	3.2  	75474
1    	27.99	1.5  	75475
3.5  	 7.99	9.7  	75476
2    	16.99	0.1  	75477
1    	23.99	1.7  	75478
2    	 7.49	0.5  	75479
5    	21.49	5.6  	75480
3.5  	18.49	4.4  	75481
2.5  	13.49	4.6  	75482
2.5  	 3.49	9.6  	75483
1.5  	 4.49	4.2  	75484
3.5  	 4.99	6.5  	75485
4.5  	18.49	1.4  	75486
4.5  	15.99	6.7  	75487
2    	 4.99	8.4  	75488
3.5  	 7.99	0.2  	75489
3.5  	 4.99	9.9  	75490
1    	 5.49	2.5  	75491
1.5  	25.49	7.4  	75492
5    	 6.99	8.4  	75493
4    	 8.49	5.2  	75494
4    	 7.99	9.6  	75495
2    	14.49	8.9  	75496
3.5  	 5.49	2.4  	75497
1.5  	13.99	2.4  	75498
3    	 7.49	6.7  	75499
1    	 7.99	0.4  	75500
2    	23.49	0.5  	75501
1    	24.49	7.8  	75502
1    	22.49	3    	75503
2    	17.99	8.8  	75504
4    	 5.99	8.4  	75505
3    	11.99	0.4  	75506
3    	17.49	6.3  	75507
4    	 6.49	0.8  	75508
5    	17.99	0.3  	75509
3    	20.49	5.1  	75510
3    	17.49	7.4  	75511
1.5  	 3.49	8    	75512
1.5  	21.49	6.6  	75513
1    	21.49	6.6  	75514
2.5  	14.99	1.1  	75515
3.5  	27.99	5.7  	75516
3.5  	11.49	0    	75517
1    	13.49	5.5  	75518
5    	11.99	1.1  	75519
2.5  	26.49	4.9  	75520
4    	17.99	7.8  	75521
2    	25.99	6.5  	75522
2    	21.49	9.2  	75523
4    	27.99	2.8  	75524
2    	 5.99	3.5  	75525
3    	23.49	5.1  	75526
1.5  	 8.49	5.1  	75527
1.5  	16.99	8    	75528
1.5  	 7.49	4.4  	75529
1    	 3.99	3.8  	75530
4    	24.99	4.9  	75531
4.5  	23.49	1.4  	75532
5    	 4.99	4.3  	75533
4.5  	12.49	0.3  	75534
3.5  	17.49	7.2  	75535
1.5  	16.49	2.6  	75536
4    	 5.49	7.9  	75537
1.5  	23.99	9.1  	75538
4    	15.99	5.2  	75539
2    	 7.49	2    	75540
2    	 7.49	1.4  	75541
3.5  	17.99	1.5  	75542
1.5  	20.49	2.9  	75543
2    	13.49	0.1  	75544
3    	10.49	6.5  	75545
1    	 3.49	7.8  	75546
3    	27.99	7.9  	75547
1.5  	27.49	4.2  	75548
1.5  	18.49	7    	75549
1.5  	21.49	3.7  	75550
3    	21.49	7.3  	75551
1.5  	 8.49	6.6  	75552
3    	17.99	6.1  	75553
3.5  	25.99	0.6  	75554
4.5  	20.49	0.3  	75555
4    	24.99	8.5  	75556
3    	 3.49	6.9  	75557
4    	13.99	2.1  	75558
1.5  	21.49	3.2  	75559
5    	20.49	4.8  	75560
2    	10.99	8.3  	75561
1.5  	15.49	0.7  	75562
2    	21.99	9.2  	75563
3.5  	17.49	0.8  	75564
3.5  	11.49	3.4  	75565
4    	24.49	9.3  	75566
3.5  	15.99	5.4  	75567
1.5  	 9.99	4.7  	75568
3.5  	 6.99	7.8  	75569
3.5  	 8.49	8.5  	75570
5    	27.49	5.6  	75571
3    	17.49	1.3  	75572
5    	13.99	6.8  	75573
2    	 4.49	8.5  	75574
3.5  	25.99	7.7  	75575
1.5  	13.99	7.1  	75576
3.5  	16.99	2    	75577
4    	11.99	7.2  	75578
2    	24.99	8.6  	75579
2.5  	26.49	3.3  	75580
2.5  	14.99	6.5  	75581
3    	19.49	0.8  	75582
3    	25.49	6.8  	75583
2    	 5.99	8.9  	75584
3.5  	25.99	4.2  	75585
2    	 6.99	5.5  	75586
1    	13.99	4.1  	75587
2.5  	13.49	7.5  	75588
5    	22.99	4.1  	75589
2.5  	25.49	9.7  	75590
4.5  	11.49	1.3  	75591
3    	 4.99	1.1  	75592
5    	 6.49	1.7  	75593
2    	20.49	2.8  	75594
1.5  	 6.49	5    	75595
3.5  	14.99	4.7  	75596
2    	19.49	6.6  	75597
3.5  	12.49	3.7  	75598
4    	10.49	2    	75599
2.5  	16.99	2.9  	75600
4    	24.99	9.5  	75601
3    	 8.99	6.6  	75602
2.5  	26.99	9.4  	75603
2.5  	13.99	6.2  	75604
1    	10.99	6.5  	75605
4    	26.99	4.6  	75606
2    	16.49	6    	75607
1    	27.49	7.7  	75608
4.5  	12.49	3.6  	75609
3.5  	27.99	9.5  	75610
5    	 8.49	2.9  	75611
3.5  	11.49	7.2  	75612
3.5  	 8.99	3.5  	75613
1.5  	13.49	4.1  	75614
5    	14.99	0.7  	75615
3    	26.49	2.8  	75616
2    	17.49	8.9  	75617
3    	20.49	4.6  	75618
5    	21.49	5.3  	75619
1    	20.99	7    	75620
5    	18.99	0.7  	75621
1    	24.99	0.2  	75622
2.5  	15.99	8    	75623
2.5  	26.99	7.4  	75624
3    	21.49	0.9  	75625
2.5  	15.49	3.2  	75626
2    	10.49	2.9  	75627
5    	 5.49	9    	75628
4    	 4.49	8    	75629
5    	14.49	2.7  	75630
5    	26.99	4.1  	75631
5    	 7.99	4.2  	75632
5    	23.49	3.4  	75633
2    	 4.49	5    	75634
2.5  	16.49	3.8  	75635
3.5  	22.99	3.9  	75636
4.5  	 9.99	7.7  	75637
4    	 3.99	7.1  	75638
5    	 6.99	8.6  	75639
2    	10.99	2    	75640
1    	23.49	3.7  	75641
5    	 8.49	2.8  	75642
4    	20.49	3.9  	75643
3    	26.49	3.3  	75644
1.5  	27.99	9.4  	75645
1    	 6.49	0    	75646
2    	22.49	5.6  	75647
1    	 7.49	1.8  	75648
5    	10.49	8.8  	75649
3    	14.99	2.7  	75650
1.5  	23.49	6.1  	75651
4.5  	14.49	9.9  	75652
3    	 4.49	4.8  	75653
1.5  	18.99	4.6  	75654
2.5  	12.99	4.8  	75655
3    	22.49	5.1  	75656
1    	 8.99	6.2  	75657
4    	17.49	8    	75658
2.5  	17.99	1.7  	75659
1    	12.99	4.7  	75660
2.5  	 5.49	6.1  	75661
4    	14.99	1.1  	75662
4.5  	 5.49	3.4  	75663
5    	 9.49	9.9  	75664
3    	 9.49	1.5  	75665
4.5  	16.49	2.3  	75666
1    	12.99	1.1  	75667
4    	17.49	1.6  	75668
4    	16.49	4    	75669
1    	24.49	8.2  	75670
5    	 5.99	8.5  	75671
2.5  	 3.49	8.6  	75672
2    	14.99	1.3  	75673
5    	27.99	0.8  	75674
2.5  	22.99	1.1  	75675
2.5  	22.99	0.3  	75676
2.5  	 4.99	3.6  	75677
5    	27.99	8.6  	75678
1    	11.49	4.6  	75679
2.5  	17.99	6.7  	75680
1    	11.49	0.6  	75681
2.5  	 7.99	7    	75682
5    	11.49	2.8  	75683
1.5  	 5.99	5    	75684
1.5  	21.49	0.5  	75685
4    	 4.49	8.1  	75686
2.5  	19.99	7.9  	75687
2    	18.99	2.9  	75688
5    	10.99	3    	75689
3    	15.99	3.9  	75690
4.5  	23.49	0.1  	75691
5    	27.49	0.6  	75692
4    	13.99	4.7  	75693
3    	 4.99	8.7  	75694
4    	17.49	9.3  	75695
1.5  	 6.99	1.5  	75696
2.5  	17.99	8.8  	75697
1    	14.99	9.7  	75698
2    	26.49	2.2  	75699
5    	16.99	6.9  	75700
5    	13.99	3.8  	75701
3    	14.99	1.6  	75702
1    	26.99	2.2  	75703
1    	11.99	4.9  	75704
5    	23.99	0.3  	75705
2    	19.99	6    	75706
3.5  	 3.49	5.4  	75707
3    	 6.99	4.5  	75708
3    	13.49	0    	75709
4.5  	 5.99	9.1  	75710
1    	 9.99	0.8  	75711
3.5  	15.49	5.2  	75712
2.5  	27.49	6.6  	75713
3.5  	17.99	2.2  	75714
3.5  	 5.49	1    	75715
2    	 3.49	7.6  	75716
2.5  	12.49	3.1  	75717
3    	26.99	5    	75718
1.5  	12.49	8    	75719
4.5  	 7.99	2.3  	75720
1.5  	25.49	7.5  	75721
3    	 7.49	0.4  	75722
2    	21.99	4.9  	75723
4    	20.99	1.9  	75724
1    	 3.49	5.6  	75725
5    	21.99	1.7  	75726
1    	19.49	9.9  	75727
4.5  	11.99	9.6  	75728
1.5  	 6.49	6.8  	75729
2    	20.49	5.6  	75730
2.5  	24.99	2    	75731
3.5  	11.99	6.5  	75732
2.5  	25.99	3.2  	75733
3.5  	10.99	7.4  	75734
5    	15.49	7.7  	75735
4.5  	27.49	0.2  	75736
1    	14.49	3.7  	75737
1.5  	14.49	5.9  	75738
2    	 3.49	9    	75739
2    	 7.49	6.7  	75740
1    	22.49	7.2  	75741
1    	15.99	0    	75742
5    	 8.49	7.8  	75743
1.5  	16.49	2.5  	75744
5    	16.49	1.4  	75745
5    	17.49	3.1  	75746
3.5  	16.99	8.9  	75747
4    	22.49	8.1  	75748
3    	17.49	6.1  	75749
1    	 3.49	0.3  	75750
1.5  	13.49	3.9  	75751
5    	19.49	9.1  	75752
1.5  	10.99	1.7  	75753
4.5  	22.99	4.4  	75754
2    	20.99	0.5  	75755
3    	25.49	0.2  	75756
3    	13.49	5.3  	75757
2.5  	 9.49	6.4  	75758
3.5  	13.99	5.8  	75759
1    	20.99	2.4  	75760
5    	16.99	8.3  	75761
2.5  	25.99	6.6  	75762
3.5  	18.49	0.7  	75763
3    	17.99	0.1  	75764
5    	21.49	4.1  	75765
5    	 6.99	6.6  	75766
3    	 5.99	5.8  	75767
4    	21.49	7.4  	75768
2    	 9.49	6.4  	75769
1.5  	24.99	7.5  	75770
3    	 3.49	0.1  	75771
3.5  	26.99	5.9  	75772
4    	17.99	6.7  	75773
4    	 4.99	2.4  	75774
1.5  	17.49	9.1  	75775
2.5  	19.49	6.4  	75776
5    	 9.99	0.5  	75777
1    	17.49	5.7  	75778
3.5  	18.49	2.1  	75779
3.5  	18.49	2.3  	75780
1.5  	23.49	8.9  	75781
4.5  	 8.99	0    	75782
4.5  	27.49	1.6  	75783
3.5  	17.49	5.3  	75784
4.5  	 5.49	9.3  	75785
4    	12.49	2.9  	75786
1    	 5.49	5.8  	75787
4    	10.49	9.1  	75788
1.5  	21.49	9.7  	75789
5    	26.49	7.8  	75790
5    	25.49	5.4  	75791
3    	21.99	3.1  	75792
4.5  	19.99	5.2  	75793
1    	21.49	0.7  	75794
4.5  	10.49	5.7  	75795
3.5  	14.99	7.4  	75796
1.5  	10.49	1.5  	75797
2    	20.49	1.7  	75798
3.5  	25.49	0.8  	75799
3.5  	23.99	4.8  	75800
3    	19.99	5.2  	75801
2.5  	23.49	2.6  	75802
1.5  	 9.49	7.6  	75803
4    	11.49	9    	75804
3.5  	 8.99	8.8  	75805
5    	27.99	5.2  	75806
5    	22.49	5.3  	75807
3.5  	 3.99	0.5  	75808
3.5  	 3.49	0.6  	75809
4.5  	 7.99	9.9  	75810
2.5  	 7.49	1.3  	75811
3    	 9.99	1.3  	75812
3    	 5.99	4.2  	75813
1    	 5.49	9.8  	75814
4.5  	16.49	4.5  	75815
3.5  	16.49	2.2  	75816
3.5  	 5.99	4.4  	75817
2    	18.99	6.7  	75818
4.5  	 8.49	2.8  	75819
3    	24.99	9.8  	75820
5    	14.99	0.3  	75821
3    	11.99	3.9  	75822
5    	16.49	4.8  	75823
1    	12.49	6.8  	75824
3    	 3.99	7    	75825
3.5  	17.99	4    	75826
4.5  	 7.49	2.7  	75827
1    	 5.99	9.7  	75828
3.5  	19.99	0.9  	75829
1    	 4.99	9.4  	75830
3.5  	11.99	6.9  	75831
4    	 6.99	1.5  	75832
1.5  	15.49	7.6  	75833
1    	 8.99	8.6  	75834
2.5  	24.99	4.5  	75835
5    	12.99	5.3  	75836
1    	14.49	0.9  	75837
3    	 6.99	0.7  	75838
3    	14.49	1.6  	75839
3.5  	 6.99	7.5  	75840
3.5  	 7.49	7.2  	75841
2.5  	20.49	8.3  	75842
3    	21.99	5.2  	75843
1.5  	20.99	2    	75844
1.5  	20.99	6.4  	75845
4.5  	11.49	2.7  	75846
4.5  	15.99	4.3  	75847
3.5  	22.99	2.6  	75848
5    	20.49	3.4  	75849
2.5  	17.99	9.5  	75850
2    	14.99	4.6  	75851
1.5  	16.49	3.4  	75852
1.5  	27.49	0.3  	75853
2    	20.99	1.4  	75854
1.5  	21.49	8    	75855
3    	22.99	4.4  	75856
3    	 4.49	9    	75857
3.5  	27.49	9.7  	75858
2.5  	11.99	6.1  	75859
4.5  	 5.49	0.7  	75860
1    	26.99	4    	75861
3.5  	13.49	8.2  	75862
1.5  	 6.49	6.7  	75863
5    	20.99	4.1  	75864
4    	25.99	4.1  	75865
4.5  	 7.99	2.9  	75866
3    	23.49	3.3  	75867
5    	24.99	0.3  	75868
4.5  	16.99	4.4  	75869
5    	27.99	0.9  	75870
1.5  	25.49	0.4  	75871
3.5  	25.99	3.4  	75872
